id,Outcome_M1,Outcome_M2,Outcome_M3,Outcome_M4,Outcome_M5,Outcome_M6,Outcome_M7,Outcome_M8,Outcome_M9,Outcome_M10,Outcome_M11,Outcome_M12
126,3945.8,1,1,1,1,1,1,1,1,1,1,1
127,10841,1,1,1,1,1,1,1,1,1,1,1
128,6467.5,1,1,1,1,1,1,1,1,1,1,1
129,8596.4,1,1,1,1,1,1,1,1,1,1,1
130,22318,1,1,1,1,1,1,1,1,1,1,1
131,3172.6,1,1,1,1,1,1,1,1,1,1,1
132,13714,1,1,1,1,1,1,1,1,1,1,1
133,4420.5,1,1,1,1,1,1,1,1,1,1,1
134,4573.3,1,1,1,1,1,1,1,1,1,1,1
135,5927.5,1,1,1,1,1,1,1,1,1,1,1
136,10155,1,1,1,1,1,1,1,1,1,1,1
137,10069,1,1,1,1,1,1,1,1,1,1,1
138,20341,1,1,1,1,1,1,1,1,1,1,1
139,2510.7,1,1,1,1,1,1,1,1,1,1,1
140,3541.8,1,1,1,1,1,1,1,1,1,1,1
141,3031.2,1,1,1,1,1,1,1,1,1,1,1
142,14126,1,1,1,1,1,1,1,1,1,1,1
143,2745.6,1,1,1,1,1,1,1,1,1,1,1
144,6321.7,1,1,1,1,1,1,1,1,1,1,1
145,32519,1,1,1,1,1,1,1,1,1,1,1
146,3865.9,1,1,1,1,1,1,1,1,1,1,1
147,3636.1,1,1,1,1,1,1,1,1,1,1,1
148,16365,1,1,1,1,1,1,1,1,1,1,1
149,19428,1,1,1,1,1,1,1,1,1,1,1
150,11107,1,1,1,1,1,1,1,1,1,1,1
151,9048.5,1,1,1,1,1,1,1,1,1,1,1
152,21233,1,1,1,1,1,1,1,1,1,1,1
153,4208.4,1,1,1,1,1,1,1,1,1,1,1
154,6342.7,1,1,1,1,1,1,1,1,1,1,1
155,7163.5,1,1,1,1,1,1,1,1,1,1,1
156,3354.6,1,1,1,1,1,1,1,1,1,1,1
157,10921,1,1,1,1,1,1,1,1,1,1,1
158,7043.9,1,1,1,1,1,1,1,1,1,1,1
159,12343,1,1,1,1,1,1,1,1,1,1,1
160,8356.5,1,1,1,1,1,1,1,1,1,1,1
161,37908,1,1,1,1,1,1,1,1,1,1,1
162,2301,1,1,1,1,1,1,1,1,1,1,1
163,2901,1,1,1,1,1,1,1,1,1,1,1
164,3593.7,1,1,1,1,1,1,1,1,1,1,1
165,2286.7,1,1,1,1,1,1,1,1,1,1,1
166,17628,1,1,1,1,1,1,1,1,1,1,1
167,4954.2,1,1,1,1,1,1,1,1,1,1,1
168,7070.4,1,1,1,1,1,1,1,1,1,1,1
169,3312.1,1,1,1,1,1,1,1,1,1,1,1
170,3785.7,1,1,1,1,1,1,1,1,1,1,1
171,3620.9,1,1,1,1,1,1,1,1,1,1,1
172,3293.4,1,1,1,1,1,1,1,1,1,1,1
173,3805.3,1,1,1,1,1,1,1,1,1,1,1
174,3816.1,1,1,1,1,1,1,1,1,1,1,1
175,5697,1,1,1,1,1,1,1,1,1,1,1
176,3838.7,1,1,1,1,1,1,1,1,1,1,1
177,15196,1,1,1,1,1,1,1,1,1,1,1
178,4142,1,1,1,1,1,1,1,1,1,1,1
179,5602.7,1,1,1,1,1,1,1,1,1,1,1
180,5334.8,1,1,1,1,1,1,1,1,1,1,1
181,7446.1,1,1,1,1,1,1,1,1,1,1,1
182,2249,1,1,1,1,1,1,1,1,1,1,1
183,9065.8,1,1,1,1,1,1,1,1,1,1,1
184,10721,1,1,1,1,1,1,1,1,1,1,1
185,4429.7,1,1,1,1,1,1,1,1,1,1,1
186,14087,1,1,1,1,1,1,1,1,1,1,1
187,65346,1,1,1,1,1,1,1,1,1,1,1
188,1.2072e+05,1,1,1,1,1,1,1,1,1,1,1
189,5666.1,1,1,1,1,1,1,1,1,1,1,1
190,3117.5,1,1,1,1,1,1,1,1,1,1,1
191,2951.4,1,1,1,1,1,1,1,1,1,1,1
192,4279,1,1,1,1,1,1,1,1,1,1,1
193,19766,1,1,1,1,1,1,1,1,1,1,1
194,3410.7,1,1,1,1,1,1,1,1,1,1,1
195,41978,1,1,1,1,1,1,1,1,1,1,1
196,5602.6,1,1,1,1,1,1,1,1,1,1,1
197,14613,1,1,1,1,1,1,1,1,1,1,1
198,12545,1,1,1,1,1,1,1,1,1,1,1
199,4156.5,1,1,1,1,1,1,1,1,1,1,1
200,4430.4,1,1,1,1,1,1,1,1,1,1,1
201,2992.5,1,1,1,1,1,1,1,1,1,1,1
202,9479.6,1,1,1,1,1,1,1,1,1,1,1
203,14361,1,1,1,1,1,1,1,1,1,1,1
204,45321,1,1,1,1,1,1,1,1,1,1,1
205,5900.3,1,1,1,1,1,1,1,1,1,1,1
206,5724.4,1,1,1,1,1,1,1,1,1,1,1
207,24326,1,1,1,1,1,1,1,1,1,1,1
208,9577.1,1,1,1,1,1,1,1,1,1,1,1
209,66425,1,1,1,1,1,1,1,1,1,1,1
210,10525,1,1,1,1,1,1,1,1,1,1,1
211,3121.4,1,1,1,1,1,1,1,1,1,1,1
212,3992.4,1,1,1,1,1,1,1,1,1,1,1
213,4511.7,1,1,1,1,1,1,1,1,1,1,1
214,3456,1,1,1,1,1,1,1,1,1,1,1
215,7803.7,1,1,1,1,1,1,1,1,1,1,1
216,4958.2,1,1,1,1,1,1,1,1,1,1,1
217,2689.1,1,1,1,1,1,1,1,1,1,1,1
218,33235,1,1,1,1,1,1,1,1,1,1,1
219,4300.1,1,1,1,1,1,1,1,1,1,1,1
220,3648.1,1,1,1,1,1,1,1,1,1,1,1
221,8943,1,1,1,1,1,1,1,1,1,1,1
222,5048.7,1,1,1,1,1,1,1,1,1,1,1
223,5589.1,1,1,1,1,1,1,1,1,1,1,1
224,2715.7,1,1,1,1,1,1,1,1,1,1,1
225,16597,1,1,1,1,1,1,1,1,1,1,1
226,4016.8,1,1,1,1,1,1,1,1,1,1,1
227,5536.5,1,1,1,1,1,1,1,1,1,1,1
228,3646.1,1,1,1,1,1,1,1,1,1,1,1
229,3345,1,1,1,1,1,1,1,1,1,1,1
230,5841,1,1,1,1,1,1,1,1,1,1,1
231,4097.1,1,1,1,1,1,1,1,1,1,1,1
232,18706,1,1,1,1,1,1,1,1,1,1,1
233,3851.4,1,1,1,1,1,1,1,1,1,1,1
234,2940.3,1,1,1,1,1,1,1,1,1,1,1
235,12654,1,1,1,1,1,1,1,1,1,1,1
236,3924.3,1,1,1,1,1,1,1,1,1,1,1
237,10428,1,1,1,1,1,1,1,1,1,1,1
238,7041.1,1,1,1,1,1,1,1,1,1,1,1
239,3764.8,1,1,1,1,1,1,1,1,1,1,1
240,3597.3,1,1,1,1,1,1,1,1,1,1,1
241,5993.3,1,1,1,1,1,1,1,1,1,1,1
242,46731,1,1,1,1,1,1,1,1,1,1,1
243,3649.8,1,1,1,1,1,1,1,1,1,1,1
244,2726.3,1,1,1,1,1,1,1,1,1,1,1
245,27887,1,1,1,1,1,1,1,1,1,1,1
246,5312.9,1,1,1,1,1,1,1,1,1,1,1
247,15175,1,1,1,1,1,1,1,1,1,1,1
248,12202,1,1,1,1,1,1,1,1,1,1,1
249,11596,1,1,1,1,1,1,1,1,1,1,1
250,4493.8,1,1,1,1,1,1,1,1,1,1,1
251,3758.8,1,1,1,1,1,1,1,1,1,1,1
252,50813,1,1,1,1,1,1,1,1,1,1,1
253,3662.6,1,1,1,1,1,1,1,1,1,1,1
254,3875.5,1,1,1,1,1,1,1,1,1,1,1
255,4638.9,1,1,1,1,1,1,1,1,1,1,1
256,8553.7,1,1,1,1,1,1,1,1,1,1,1
257,3526.2,1,1,1,1,1,1,1,1,1,1,1
258,2659.9,1,1,1,1,1,1,1,1,1,1,1
259,4710.9,1,1,1,1,1,1,1,1,1,1,1
260,26115,1,1,1,1,1,1,1,1,1,1,1
261,22507,1,1,1,1,1,1,1,1,1,1,1
262,16861,1,1,1,1,1,1,1,1,1,1,1
263,2229.1,1,1,1,1,1,1,1,1,1,1,1
264,2759.2,1,1,1,1,1,1,1,1,1,1,1
265,2749.1,1,1,1,1,1,1,1,1,1,1,1
266,4021.1,1,1,1,1,1,1,1,1,1,1,1
267,8156,1,1,1,1,1,1,1,1,1,1,1
268,25655,1,1,1,1,1,1,1,1,1,1,1
269,20721,1,1,1,1,1,1,1,1,1,1,1
270,5107.6,1,1,1,1,1,1,1,1,1,1,1
271,13633,1,1,1,1,1,1,1,1,1,1,1
272,24027,1,1,1,1,1,1,1,1,1,1,1
273,33220,1,1,1,1,1,1,1,1,1,1,1
274,4896.7,1,1,1,1,1,1,1,1,1,1,1
275,6087.3,1,1,1,1,1,1,1,1,1,1,1
276,4505.7,1,1,1,1,1,1,1,1,1,1,1
277,20577,1,1,1,1,1,1,1,1,1,1,1
278,4474.7,1,1,1,1,1,1,1,1,1,1,1
279,4656.6,1,1,1,1,1,1,1,1,1,1,1
280,2989.6,1,1,1,1,1,1,1,1,1,1,1
281,3990.3,1,1,1,1,1,1,1,1,1,1,1
282,6792.4,1,1,1,1,1,1,1,1,1,1,1
283,3964,1,1,1,1,1,1,1,1,1,1,1
284,13770,1,1,1,1,1,1,1,1,1,1,1
285,14444,1,1,1,1,1,1,1,1,1,1,1
286,3632.4,1,1,1,1,1,1,1,1,1,1,1
287,6945.8,1,1,1,1,1,1,1,1,1,1,1
288,4330.9,1,1,1,1,1,1,1,1,1,1,1
289,11741,1,1,1,1,1,1,1,1,1,1,1
290,14722,1,1,1,1,1,1,1,1,1,1,1
291,2828.4,1,1,1,1,1,1,1,1,1,1,1
292,8676.1,1,1,1,1,1,1,1,1,1,1,1
293,4441.1,1,1,1,1,1,1,1,1,1,1,1
294,7082.5,1,1,1,1,1,1,1,1,1,1,1
295,2783.5,1,1,1,1,1,1,1,1,1,1,1
296,3239.8,1,1,1,1,1,1,1,1,1,1,1
297,32487,1,1,1,1,1,1,1,1,1,1,1
298,7943.1,1,1,1,1,1,1,1,1,1,1,1
299,3849.4,1,1,1,1,1,1,1,1,1,1,1
300,5170.3,1,1,1,1,1,1,1,1,1,1,1
301,3085.9,1,1,1,1,1,1,1,1,1,1,1
302,2188.6,1,1,1,1,1,1,1,1,1,1,1
303,10764,1,1,1,1,1,1,1,1,1,1,1
304,5382.4,1,1,1,1,1,1,1,1,1,1,1
305,4459.9,1,1,1,1,1,1,1,1,1,1,1
306,4516.1,1,1,1,1,1,1,1,1,1,1,1
307,8639.7,1,1,1,1,1,1,1,1,1,1,1
308,12705,1,1,1,1,1,1,1,1,1,1,1
309,9789.9,1,1,1,1,1,1,1,1,1,1,1
310,6024,1,1,1,1,1,1,1,1,1,1,1
311,4593.3,1,1,1,1,1,1,1,1,1,1,1
312,6079.8,1,1,1,1,1,1,1,1,1,1,1
313,2723.2,1,1,1,1,1,1,1,1,1,1,1
314,47963,1,1,1,1,1,1,1,1,1,1,1
315,44398,1,1,1,1,1,1,1,1,1,1,1
316,9775,1,1,1,1,1,1,1,1,1,1,1
317,6501.1,1,1,1,1,1,1,1,1,1,1,1
318,5965.7,1,1,1,1,1,1,1,1,1,1,1
319,7919.2,1,1,1,1,1,1,1,1,1,1,1
320,14301,1,1,1,1,1,1,1,1,1,1,1
321,2673.8,1,1,1,1,1,1,1,1,1,1,1
322,10326,1,1,1,1,1,1,1,1,1,1,1
323,3985.5,1,1,1,1,1,1,1,1,1,1,1
324,3953.8,1,1,1,1,1,1,1,1,1,1,1
325,4290.5,1,1,1,1,1,1,1,1,1,1,1
326,5224.8,1,1,1,1,1,1,1,1,1,1,1
327,3390.3,1,1,1,1,1,1,1,1,1,1,1
328,16961,1,1,1,1,1,1,1,1,1,1,1
329,21954,1,1,1,1,1,1,1,1,1,1,1
330,8140.6,1,1,1,1,1,1,1,1,1,1,1
331,3763.4,1,1,1,1,1,1,1,1,1,1,1
332,9964.7,1,1,1,1,1,1,1,1,1,1,1
333,2847.4,1,1,1,1,1,1,1,1,1,1,1
334,3488.2,1,1,1,1,1,1,1,1,1,1,1
335,18872,1,1,1,1,1,1,1,1,1,1,1
336,39493,1,1,1,1,1,1,1,1,1,1,1
337,4401.9,1,1,1,1,1,1,1,1,1,1,1
338,2969.8,1,1,1,1,1,1,1,1,1,1,1
339,1.2061e+05,1,1,1,1,1,1,1,1,1,1,1
340,3510.2,1,1,1,1,1,1,1,1,1,1,1
341,4918.2,1,1,1,1,1,1,1,1,1,1,1
342,5836.9,1,1,1,1,1,1,1,1,1,1,1
343,20420,1,1,1,1,1,1,1,1,1,1,1
344,4005.6,1,1,1,1,1,1,1,1,1,1,1
345,5019,1,1,1,1,1,1,1,1,1,1,1
346,2921.7,1,1,1,1,1,1,1,1,1,1,1
347,13003,1,1,1,1,1,1,1,1,1,1,1
348,2949.2,1,1,1,1,1,1,1,1,1,1,1
349,7654,1,1,1,1,1,1,1,1,1,1,1
350,7128.2,1,1,1,1,1,1,1,1,1,1,1
351,4154.1,1,1,1,1,1,1,1,1,1,1,1
352,14015,1,1,1,1,1,1,1,1,1,1,1
353,3123.3,1,1,1,1,1,1,1,1,1,1,1
354,3401.6,1,1,1,1,1,1,1,1,1,1,1
355,11098,1,1,1,1,1,1,1,1,1,1,1
356,49821,1,1,1,1,1,1,1,1,1,1,1
357,2592.1,1,1,1,1,1,1,1,1,1,1,1
358,7929.6,1,1,1,1,1,1,1,1,1,1,1
359,8792.4,1,1,1,1,1,1,1,1,1,1,1
360,6890.8,1,1,1,1,1,1,1,1,1,1,1
361,5840.8,1,1,1,1,1,1,1,1,1,1,1
362,3950.3,1,1,1,1,1,1,1,1,1,1,1
363,45781,1,1,1,1,1,1,1,1,1,1,1
364,4347.7,1,1,1,1,1,1,1,1,1,1,1
365,4517.5,1,1,1,1,1,1,1,1,1,1,1
366,19203,1,1,1,1,1,1,1,1,1,1,1
367,50115,1,1,1,1,1,1,1,1,1,1,1
368,2525,1,1,1,1,1,1,1,1,1,1,1
369,5162.5,1,1,1,1,1,1,1,1,1,1,1
370,3422.4,1,1,1,1,1,1,1,1,1,1,1
371,14132,1,1,1,1,1,1,1,1,1,1,1
372,5098,1,1,1,1,1,1,1,1,1,1,1
373,2864.7,1,1,1,1,1,1,1,1,1,1,1
374,12814,1,1,1,1,1,1,1,1,1,1,1
375,13432,1,1,1,1,1,1,1,1,1,1,1
376,4285.5,1,1,1,1,1,1,1,1,1,1,1
377,13735,1,1,1,1,1,1,1,1,1,1,1
378,4482.1,1,1,1,1,1,1,1,1,1,1,1
379,2553.2,1,1,1,1,1,1,1,1,1,1,1
380,3298.6,1,1,1,1,1,1,1,1,1,1,1
381,12860,1,1,1,1,1,1,1,1,1,1,1
382,12003,1,1,1,1,1,1,1,1,1,1,1
383,9100.6,1,1,1,1,1,1,1,1,1,1,1
384,13091,1,1,1,1,1,1,1,1,1,1,1
385,2947.4,1,1,1,1,1,1,1,1,1,1,1
386,12275,1,1,1,1,1,1,1,1,1,1,1
387,4231.9,1,1,1,1,1,1,1,1,1,1,1
388,6923.1,1,1,1,1,1,1,1,1,1,1,1
389,9943.7,1,1,1,1,1,1,1,1,1,1,1
390,3511.9,1,1,1,1,1,1,1,1,1,1,1
391,21353,1,1,1,1,1,1,1,1,1,1,1
392,7833.3,1,1,1,1,1,1,1,1,1,1,1
393,2925.5,1,1,1,1,1,1,1,1,1,1,1
394,3428.7,1,1,1,1,1,1,1,1,1,1,1
395,24026,1,1,1,1,1,1,1,1,1,1,1
396,9149.6,1,1,1,1,1,1,1,1,1,1,1
397,9047.9,1,1,1,1,1,1,1,1,1,1,1
398,11518,1,1,1,1,1,1,1,1,1,1,1
399,15462,1,1,1,1,1,1,1,1,1,1,1
400,3972.3,1,1,1,1,1,1,1,1,1,1,1
401,3931.3,1,1,1,1,1,1,1,1,1,1,1
402,4550.6,1,1,1,1,1,1,1,1,1,1,1
403,3930.1,1,1,1,1,1,1,1,1,1,1,1
404,24838,1,1,1,1,1,1,1,1,1,1,1
405,2387.9,1,1,1,1,1,1,1,1,1,1,1
406,3810,1,1,1,1,1,1,1,1,1,1,1
407,3849.5,1,1,1,1,1,1,1,1,1,1,1
408,6125.6,1,1,1,1,1,1,1,1,1,1,1
409,7579.2,1,1,1,1,1,1,1,1,1,1,1
410,2704.3,1,1,1,1,1,1,1,1,1,1,1
411,9397.1,1,1,1,1,1,1,1,1,1,1,1
412,2435,1,1,1,1,1,1,1,1,1,1,1
413,12061,1,1,1,1,1,1,1,1,1,1,1
414,6067.8,1,1,1,1,1,1,1,1,1,1,1
415,3444,1,1,1,1,1,1,1,1,1,1,1
416,3846.4,1,1,1,1,1,1,1,1,1,1,1
417,2769.6,1,1,1,1,1,1,1,1,1,1,1
418,71811,1,1,1,1,1,1,1,1,1,1,1
419,6734.1,1,1,1,1,1,1,1,1,1,1,1
420,6349.1,1,1,1,1,1,1,1,1,1,1,1
421,9159.1,1,1,1,1,1,1,1,1,1,1,1
422,2604.1,1,1,1,1,1,1,1,1,1,1,1
423,3877.2,1,1,1,1,1,1,1,1,1,1,1
424,62667,1,1,1,1,1,1,1,1,1,1,1
425,4031.4,1,1,1,1,1,1,1,1,1,1,1
426,12355,1,1,1,1,1,1,1,1,1,1,1
427,4076.5,1,1,1,1,1,1,1,1,1,1,1
428,3337.6,1,1,1,1,1,1,1,1,1,1,1
429,9521.2,1,1,1,1,1,1,1,1,1,1,1
430,9931.6,1,1,1,1,1,1,1,1,1,1,1
431,13526,1,1,1,1,1,1,1,1,1,1,1
432,2923.5,1,1,1,1,1,1,1,1,1,1,1
433,4099.2,1,1,1,1,1,1,1,1,1,1,1
434,4360.2,1,1,1,1,1,1,1,1,1,1,1
435,3699.6,1,1,1,1,1,1,1,1,1,1,1
436,2578.3,1,1,1,1,1,1,1,1,1,1,1
437,11861,1,1,1,1,1,1,1,1,1,1,1
438,3067.3,1,1,1,1,1,1,1,1,1,1,1
439,59269,1,1,1,1,1,1,1,1,1,1,1
440,2864.9,1,1,1,1,1,1,1,1,1,1,1
441,8589.2,1,1,1,1,1,1,1,1,1,1,1
442,3076.5,1,1,1,1,1,1,1,1,1,1,1
443,3530.3,1,1,1,1,1,1,1,1,1,1,1
444,12313,1,1,1,1,1,1,1,1,1,1,1
445,2994.3,1,1,1,1,1,1,1,1,1,1,1
446,16932,1,1,1,1,1,1,1,1,1,1,1
447,5764.3,1,1,1,1,1,1,1,1,1,1,1
448,3456,1,1,1,1,1,1,1,1,1,1,1
449,5723.4,1,1,1,1,1,1,1,1,1,1,1
450,8545.3,1,1,1,1,1,1,1,1,1,1,1
451,2800.1,1,1,1,1,1,1,1,1,1,1,1
452,26039,1,1,1,1,1,1,1,1,1,1,1
453,6297.1,1,1,1,1,1,1,1,1,1,1,1
454,55255,1,1,1,1,1,1,1,1,1,1,1
455,4066.6,1,1,1,1,1,1,1,1,1,1,1
456,5924.2,1,1,1,1,1,1,1,1,1,1,1
457,3285.4,1,1,1,1,1,1,1,1,1,1,1
458,14694,1,1,1,1,1,1,1,1,1,1,1
459,7906.7,1,1,1,1,1,1,1,1,1,1,1
460,9714.9,1,1,1,1,1,1,1,1,1,1,1
461,3526,1,1,1,1,1,1,1,1,1,1,1
462,19608,1,1,1,1,1,1,1,1,1,1,1
463,42274,1,1,1,1,1,1,1,1,1,1,1
464,4531,1,1,1,1,1,1,1,1,1,1,1
465,2417.7,1,1,1,1,1,1,1,1,1,1,1
466,7379.3,1,1,1,1,1,1,1,1,1,1,1
467,10376,1,1,1,1,1,1,1,1,1,1,1
468,14720,1,1,1,1,1,1,1,1,1,1,1
469,28601,1,1,1,1,1,1,1,1,1,1,1
470,4405.3,1,1,1,1,1,1,1,1,1,1,1
471,9983.4,1,1,1,1,1,1,1,1,1,1,1
472,16936,1,1,1,1,1,1,1,1,1,1,1
473,20442,1,1,1,1,1,1,1,1,1,1,1
474,8006.3,1,1,1,1,1,1,1,1,1,1,1
475,9842.6,1,1,1,1,1,1,1,1,1,1,1
476,6207.6,1,1,1,1,1,1,1,1,1,1,1
477,12303,1,1,1,1,1,1,1,1,1,1,1
478,8136.3,1,1,1,1,1,1,1,1,1,1,1
479,38769,1,1,1,1,1,1,1,1,1,1,1
480,2871.5,1,1,1,1,1,1,1,1,1,1,1
481,3934.2,1,1,1,1,1,1,1,1,1,1,1
482,14836,1,1,1,1,1,1,1,1,1,1,1
483,2933.5,1,1,1,1,1,1,1,1,1,1,1
484,17126,1,1,1,1,1,1,1,1,1,1,1
485,68351,1,1,1,1,1,1,1,1,1,1,1
486,4867.3,1,1,1,1,1,1,1,1,1,1,1
487,3287.4,1,1,1,1,1,1,1,1,1,1,1
